id_institucion;jornada;id_turno;gestion;dependencia
26000010;Completa;1;Estatal;Provincial
26000010;Completa;2;Estatal;Provincial
26000020;Completa;1;Estatal;Provincial
26000020;Completa;2;Estatal;Provincial
26000020;Completa;3;Estatal;Provincial
26000030;Extendida;4;Estatal;Provincial
26000030;Extendida;5;Estatal;Provincial
26000040;Completa;1;Gestión social/cooperativa;Provincial
26000040;Completa;2;Gestión social/cooperativa;Provincial
26000060;Extendida;4;Estatal;Provincial
26000070;Extendida;4;Estatal;Provincial
26000070;Extendida;5;Estatal;Provincial
26000080;Completa;1;Estatal;Provincial
26000080;Completa;2;Estatal;Provincial
26000082;Completa;1;Estatal;Provincial
26000082;Completa;2;Estatal;Provincial
26000090;Completa;1;Estatal;Provincial
26000090;Completa;2;Estatal;Provincial
26000120;Completa;6;Estatal;Provincial
26000130;Completa;1;Estatal;Provincial
26000140;Completa;1;Estatal;Provincial
26000140;Completa;6;Estatal;Provincial
26000150;Completa;2;Estatal;Provincial
26000150;Completa;6;Estatal;Provincial
26000160;Completa;1;Estatal;Provincial
26000160;Completa;2;Estatal;Provincial
26000170;Completa;6;Estatal;Provincial
26000180;Completa;1;Estatal;Provincial
26000180;Completa;2;Estatal;Provincial
26000200;Completa;6;Estatal;Provincial
26000210;Completa;1;Estatal;Provincial
26000210;Completa;2;Estatal;Provincial
26000211;Completa;1;Estatal;Provincial
26000220;Extendida;4;Estatal;Provincial
26000230;Completa;0;Estatal;Provincial
26000240;Completa;1;Estatal;Provincial
26000240;Completa;2;Estatal;Provincial
26000250;Completa;0;Estatal;Provincial
26000251;Completa;0;Estatal;Provincial
26000260;Completa;6;Estatal;Provincial
26000270;Completa;1;Estatal;Provincial
26000270;Extendida;4;Estatal;Provincial
26000290;Completa;2;Estatal;Provincial
26000290;Extendida;4;Estatal;Provincial
26000290;Extendida;5;Estatal;Provincial
26000300;Completa;6;Estatal;Provincial
26000310;Completa;1;Estatal;Provincial
26000310;Completa;6;Estatal;Provincial
26000320;Completa;1;Privado;Provincial
26000320;Completa;2;Privado;Provincial
26000330;Completa;1;Privado;Provincial
26000330;Completa;2;Privado;Provincial
26000340;Completa;1;Estatal;Provincial
26000340;Completa;2;Estatal;Provincial
26000350;Completa;1;Estatal;Provincial
26000350;Completa;2;Estatal;Provincial
26000360;Completa;2;Privado;Provincial
26000360;Completa;7;Privado;Provincial
26000370;Completa;1;Estatal;Provincial
26000370;Completa;2;Estatal;Provincial
26000380;Completa;1;Estatal;Provincial
26000380;Completa;2;Estatal;Provincial
