id,id_institucion,lat,long,geom
5046,26008630,2823700,5257819,01010000209C5600008F6AC3080A8B454169F94AAF960E5441
5047,26008670,2321014,5342300,01010000209C560000E60FA0C33AB541415D273FF916615441
5048,26008680,2616603,4919109,01010000209C5600000B7DCEA68DF643415000CA35D1C35241
5049,26008690,2299106,5226069,01010000209C56000072EBEE10718A4141FFE4735895EF5341
5050,26008770,2826752,5255353,01010000209C560000D79D6EFEFF904541188A7D272E0C5441
5051,26000010,2614795,4919199,01010000209C5600000FA34F7205F34341F8D8F4A8E7C35241
5052,26000020,2614897,4920257,01010000209C560000147851B838F343417AD90E2EF0C45241
5053,26000030,2614781,4919213,01010000209C5600005B788979FEF24341AF80EF3BEBC35241
5054,26000040,2615443,4920081,01010000209C560000AC024D8B49F44341AEC7B720C4C45241
5055,26000060,2616616,4920489,01010000209C56000077765A1794F64341DCE8C45A2AC55241
5056,26000070,2615906,4920062,01010000209C56000000BE011E31F54341B14E7B92BFC45241
5057,26000080,2798191,5203331,01010000209C56000079B9F95437594541EFFF91A360D95341
5058,26000082,2799101,5203106,01010000209C56000099B13752FE5A454178FCBA6E28D95341
5059,26000090,2800277,5203394,01010000209C5600005B7A9C804A5D454111DF727070D95341
5060,26000120,2290197,5345540,01010000209C560000FA0825A20A7941417AAD780141645441
5061,26000130,2308093,5328579,01010000209C5600004D08CD71FE9B41415A1192D4B0535441
5062,26000140,2373972,5303943,01010000209C560000E427BB10AA1C4241ECAD03B4A13B5441
5063,26000150,2330295,5298548,01010000209C560000A1217D855BC74141B217540E5D365441
5064,26000160,2613557,4918940,01010000209C56000060CEF6509AF043417FE6CF01A7C35241
5065,26000170,2619146,4922795,01010000209C560000A9FDA8DF84FB4341666B2BBB6AC75241
5066,26000180,2619307,4922930,01010000209C560000E90F1643D5FB4341D7E6A49E8CC75241
5067,26000200,2284575,5340660,01010000209C560000C8F280490F6E414163BCCEE87C5F5441
5068,26000210,2319960,5342976,01010000209C560000C6E44F072CB34141EF0979E5BF615441
5069,26000211,2316985,5340569,01010000209C560000289E6A965CAD4141DF62452B665F5441
5070,26000220,2290348,5345507,01010000209C5600001CEE1734567941414CABF1AE38645441
5071,26000230,2824935,5256590,01010000209C5600008B88C9AB738D4541CBB5146E630D5441
5072,26000240,2823666,5256675,01010000209C56000075F3D4CDF88A4541CAE716C2780D5441
5073,26000250,2310232,5246513,01010000209C560000362254D62BA041412D385A5F8C035441
5074,26000251,2382362,5121629,01010000209C560000955F7D1B0D2D42411BA84B3197895341
5075,26000260,2322522,5241484,01010000209C560000AEB3D20B2DB8414175A0D2E7A2FE5341
5076,26000270,2301231,5252473,01010000209C5600008CDD7F4F978E4141E70CDE3E5E095441
