id_supervision;nombre_sup;domicilio;tel;email;gestion;region;id_nivel;lat;long
1;Puerto Madryn;Mitre N° 1066;(0280) 4456625/4454365;supervisioninicialmadryn@gmail.com;Estatal;2;2;-42.77045;-65.03493
2;Esquel;Av. Alvear 1160;(02945) 451904;nivelinireg3@gmail.com;Estatal;3;2;-42.91226;-71.3218
3;Trelew;Maipú 510;(0280) 4429534;inicialcuarta@hotmail.com;Estatal;4;2;-43.2624;-65.30205
4;Comodoro Rivadavia;San José de Jachal 862, Barrio Pueyrredon;(0297) 4481162;supervisioninicial@gmail.com;Estatal;6;2;-45.83994;-67.47886
5;Supervisión Técnica General;Av. 9 de Julio N° 24;(0280) 4482341;stgeducacioninicial@educacionvirtual.chubut.edu.ar;Estatal;4;2;-43.29797;-65.10291
6;Sarmiento;Estrada y Gral. Paz, Sarmiento;(0297) 4894416;supinicialsarmiento@hotmail.com;Estatal;5;2;-45.59193;-69.06994
7;Las Golondrinas;Rosa Mosqueta S/N, Las Golondrinas;(02944) 473036;inicialregion1@gmail.com;Estatal;1;2;-42.01538;-71.53311
8;Trelew;Hipólito Yrigoyen, esquina Martín Fierro (Escuela N° 85);(0280) 4429630 / 4432763;stsprimaria.region4@educacionvirtual.chubut.edu.ar;Estatal;4;3;-43.25959;-65.29653
9;Puerto Madryn;25 de Mayo y Rivadavia;(0280) 4456960 /4451428 / 4454615 / 154653176;supervisionregion2@educacionvirtual.chubut.edu.ar;Estatal;2;3;-42.77527;-65.03043
10;Esquel;Av. Alvear N° 1160;(02945) 455597 / 450569 / 450833;supervisionregion3@educacionvirtual.chubut.edu.ar;Estatal;3;3;-42.91226;-71.32176
11;Sarmiento;Estrada N° 750;(0297) 4893648 / 4893633 / 154525970;sup.primaria.r5@educacionvirtual.chubut.edu.ar;Estatal;5;3;-45.59012;-69.07487
12;Comodoro Rivadavia;Marcelino Reyes y José Fuchs - B° Gral. Mosconi - Km 3;(0297) 4557086;stsprimaria.region6@educacionvirtual.chubut.edu.ar;Estatal;6;3;-45.8399;-67.47882
13;Las Golondrinas;Calle de la Cruz;(02944) 471802 / 473065;supervisionregion1@educacionvirtual.chubut.edu.ar;Estatal;1;3;-42.01513;-71.53279
14;Supervisión Técinica General;Av. 9 de Julio N° 24;Sin información;stg.educacionprimaria@educacionvirtual.chubut.edu.ar - despacho.stgprimaria@educacionvirtual.chubut.edu.ar;Estatal;4;3;-43.29801;-65.10287
15;Las Golondrinas;Callejón de la Cruz (detras de Esc. 41);(02944) 4473079;stepregion1@gmail.com;Estatal;1;4;-42.01573;-71.53302
16;Puerto Madryn;Mitre y Rivadavia;(0280) 4450194;"supsecpm@gmail.com
";Estatal;2;4;-42.77534;-65.03035
17;Esquel;Alvear 1160;(02945) 451415;secundariar3@gmail.com;Estatal;3;4;-42.9123;-71.32177
18;Trelew;Italia 450;(0280) 4427709;supervisionsec.reg.iv@gmail.com;Estatal;4;4;-43.2531;-65.31146
19;Rawson;Av. 9 de Julio N°24;(0280) 4486483;stes.rawson@gmail.com;Estatal;4;4;-43.29801;-65.10285
20;Sarmiento;Av. Regimiento de Infantería Mecanizada 25 N° 32;(0297) 4892173;supervsecundario5@hotmail.com;Estatal;5;4;-45.59396;-69.06909
21;Supervisión Técnica General;Av. 9 de Julio N°24;(0280) 4482361/44;stg.educacionsecundaria@educacionvirtual.chubut.edu.ar;Estatal;4;4;-43.29799;-65.10282
22;Comodoro Rivadavia;San José de Jachal 896;0297 4557163 / 4550689;supervision.secundaria.region6ta@gmail.com;Estatal;6;4;-45.83994;-67.47883
23;Supervision Zona Sur;Marcelino Reyes  y José Fuchs;(0297) 4557158;supervisionprivinicial@gmail.com;Privada;5;2;-45.8399;-67.47888
24;Supervision Zona Norte;Alem e Italia (Escuela N° 511);(0280) 4426984;supervisiondgep@gmail.com;Privada;4;4;-43.25432;-65.30539
25;Supervision Zona Sur;Marcelino Reyes y José Fuchs;(0297) 4551155;supervision.epnp@gmail.com;Privada;5;3;-45.83999;-67.47887
26;Supervision Zona Sur;Marcelino Reyes y José Fuchs;(0297) 4551004 /4557163;sep.region5tay6ta@gmail.com;Privada;5;4;-45.83996;-67.47882
