 id_departamento;id_localidad;numero;cue;anexo;funcion;region;domicilio;cp;ambito;web;email_inst;nombre;tel
14;81;1;2600398;0;Activo;6;Hipólito Irigoyen 748, Centro ;(U9000);Urbano;No posee;ep1patagoniaargentina@gmail.com;Patagonia Argentina;4464038
14;81;2;2600006;0;Activo;6;Huergo 1545, Pietrobelli ;(U9000);Urbano;No posee;direscuela2@yahoo.com.ar;FRANCISCO PIETROBELLI;4465172
11;66;3;2600413;0;Activo;4;Alfredo García 1345, Los Teros ;(U9100);Rural Disperso;No posee;escuela3tw@gmail.com;Almirante Marcos A. Zar;4443800
11;63;4;2600309;0;Activo;4;Alejandro Maíz 150, Centro ;(U9103);Urbano;No posee;escuelacuatro_rawson@yahoo.com.ar;General José De San Martín;4481986
11;66;5;2600057;0;Activo;4;28 de Julio 19, Centro ;(U9100);Urbano;No posee;trencito403@gmail.com;Domingo Faustino Sarmiento;4427539
8;58;6;2600251;0;Activo;4;Ruta Provincial Nº 25 ;(U9207);Rural Disperso;No posee;docentesescuela6@hotmail.com;Simon De Alcazaba Y Sotomayor;4499002
3;27;8;2600363;0;Activo;3;Pasteur 1230, Buenos Aires ;(U9200);Urbano;No posee;escuela844@gmail.com;Manuel Belgrano;450008
15;11;9;2600124;0;Activo;1;Rosa Mosqueta 443, Zona del Lago ;(U9211);Rural Disperso;No posee;maitenaescuela9@gmail.com;Mariano Moreno;499064
2;21;10;2600357;0;Activo;3;Escuela N° 10 ;(U9201);Rural Aglomerado;No posee;escuela10.carrenleufu@gmail.com;Martín Miguel De Güemes;490746
14;83;12;2600340;0;Activo;6;Fragata Hércules 29;(U9001);Urbano;No posee;escuela12rt@gmail.com;Almirante Guillermo Brown;4451101
14;81;13;2600035;0;Activo;6;Artigas 650, José Fuchs ;(U9000);Urbano;No posee;escuela13.chubut@gmail.com;Libertador General José De San Martín;4462561
13;77;14;2600352;0;Activo;5;Ruta Provincial N° 20;(U9020);Rural Disperso;No posee;esc.14.piopio.sto@gmail.com;Escuela Provincial Nº 14;4896729
8;59;15;2600295;0;Activo;4;Avda. Strobel;(U9207);Rural Aglomerado;No posee;escuela15pasodeindios@gmail.com;Provincia De La Pampa;4497265
7;44;16;2600319;0;Activo;4;Justo José de Urquiza 42;(U9111);Rural Aglomerado;No posee;esc16chubut@yahoo.com.ar;Justo José De Urquiza;4963096
2;40;17;2600029;0;Activo;3;Avda. San Martín;(U9201);Rural Aglomerado;No posee;sin informacion;Padre José Parolini;493050
11;63;20;2600142;0;Activo;4;Avda. 25 de Mayo 55;(U9103);Urbano;No posee;esc20rw@hotmail.com;Maestro Ricardo J. Berwyn;4481688
11;66;21;2600186;0;Activo;4;Colombia , Centro ;(U9100);Urbano;No posee;escuela.21@hotmail.com.ar;Lewis Jones;4427662
15;8;22;2600161;0;Activo;1;Pasaje Santa Cruz;(U9210);Urbano;No posee;brunothomae@gmail.com;Bruno Thomae;495137
14;81;23;2600315;0;Activo;6;Juan José Paso 1449, Próspero Palazzo ;(U9000);Urbano;No posee;escuela23@hotmail.com.ar;Dr. Carlos Madariaga;4548229
3;27;24;2600185;0;Activo;3;Avda. Presidente Perón 1351, Bella Vista ;(U9200);Urbano;No posee;escuela24esquel@hotmail.com;Coronel Luis Jorge Fontana;450003
3;32;25;2600183;0;Activo;3;Primeros Pobladores;(U9201);Rural Disperso;No posee;escuela25futaleufquen@yahoo.com.ar;Delia Medici De Chayep;471042
14;81;26;2600007;0;Activo;6;Avda. Rivadavia 2190, Jorge Newbery ;(U9000);Urbano;No posee;escuela26institucional@gmail.com;Ejército Argentino;4462534
14;81;27;2600370;0;Activo;6;Bogotá 845, Laprida ;(U9000);Urbano;No posee;escuela27_frayluisbeltran@yahoo.com.ar;Fray Luis Beltran;4560069
13;79;28;2600280;0;Activo;5;Alberdi 750, Centro ;(U9020);Urbano;No posee;independenciaescuela@yahoo.com;Independencia;4893187
6;54;30;2600091;0;Activo;4;Avda. Yanquetrùz;(U9121);Rural Aglomerado;No posee;escuela30gastre@hotmail.com;Islas Malvinas;4490520
8;45;31;2600253;0;Activo;4;Cerro Cóndor- A 58 Km.a Paso de Indios por Ruta Provincial Nº12 ;(U9207);Rural Disperso;No posee;escuela57riflerosdelchubut@hotmail.com;Rifleros Del Chubut;4490011
14;81;32;2600063;0;Activo;6;Canadá 2650, Pueyrredón ;(U9000);Urbano;No posee;escuela32chubut@gmail.com;Repùblica Argentina;4483860/ 4486788
9;53;33;2600133;0;Activo;4;San Martín;(U9121);Rural Aglomerado;No posee;escuela33gangan@live.com.ar;Maestros Argentinos;4490406- 4490458
14;81;34;2600127;0;Activo;6;Granaderos , La Floresta ;(U9000);Urbano;No posee;escuela34comodoro@gmail.com;Ciudad De Comodoro Rivadavia;4462116
4;29;35;2600188;0;Activo;3;Avda. Julio Argentino Roca;(U9223);Rural Aglomerado;No posee;escuela35gdorcosta@hotmail.com;Provincia De Corrientes;491018
12;78;36;2600224;0;Activo;5;Sarmiento 767, Centro ;(U9030);Rural Aglomerado;No posee;escuela36riomayo@gmail.com;Maestro Manuel A. Reyes Ayllán;420302
3;41;37;2600115;0;Activo;3;Avda. San Martín , 25 de Noviembre ;(U9203);Rural Aglomerado;No posee;escuela37jc@gmail.com;Pedro Luis Sánchez;480175
15;4;38;2600084;0;Activo;1;Avda. del Libertador;(U9211);Rural Aglomerado;No posee;escuela38cushamen@gmail.com;Policía Federal Argentina;470751
14;81;39;2600392;0;Activo;6;Santa Cruz 370, 9 de Julio ;(U9000);Urbano;No posee;escuelaprov39@live.com.ar;Sgto. Juan Bautista Cabral;4461054
11;66;40;2600169;0;Activo;4;Corrientes , Malvinas Argentinas ;(U9100);Urbano;No posee;sin informacion;Eluned Morgan;4420649
15;13;41;2600012;0;Activo;1;Camino de la Cruz;(U9211);Rural Aglomerado;No posee;escuelalasgolondrinas41@gmail.com;Las Golondrinas;4473106/ 4471859
1;17;42;2600395;0;Activo;2;25 de Mayo 1090, Villa del Parque ;(U9120);Urbano;No posee;escuela42luispb@gmail.com;Comandante Luis Piedrabuena;4451276
14;81;43;2600376;0;Activo;6;Pampa del Castillo 250, Belgrano Viejo ;(U9005);Urbano;No posee;ingenieroluis43@hotmail.com;Ingeniero Luis Augusto Huergo;4550690
14;81;44;2600206;0;Activo;6;Fortín Chacabuco- Km.11 ;(U9000);Urbano;No posee;escuela44km11.cr@gmail.com;Coronel Félix De Olazábal;4548865
1;17;46;2600201;0;Activo;2;Juan Muzzio 70;(U9120);Urbano;No posee;sin informacion;Territorio Nacional De La Tierra del Fuego e Islas Del Atlántico Sud;4451523
11;63;47;2600256;0;Activo;4;O´Donnell , Área 12 ;(U9103);Urbano;No posee;escu47rawson@gmail.com;Provincia De Santa Fe;4481920
1;17;49;2600326;0;Activo;2;Comodoro Martín Rivadavia , Julio Argentino Roca ;(U9120);Urbano;No posee;escuelafpm@gmail.com;Francisco Pascasio Moreno;4451070
11;66;50;2600401;0;Activo;4;Simón de Alcazaba , Corradi ;(U9100);Urbano;No posee;escuela50_tw@yahoo.com.ar;Capitán Antonio Oneto;4421913
4;39;51;2600191;0;Activo;3;Avda. San Martín;(U9225);Rural Aglomerado;No posee;escuelariopico@hotmail.com;Maestra Muriel Inés Rivas De Acevedo;492090
14;81;52;2600045;0;Activo;6;Av. Kennedy 1800, Ceferino Namucurá ;(U9000);Urbano;No posee;escprov52@gmail.com;Ciudad De Buenos Aires;4462627
11;66;53;2600145;0;Activo;4;Pecoraro 1794, San José ;(U9100);Urbano;No posee;esc53_re@hotmail.com;Reverendo Padre Raúl Entraigas;4427673
