nombre	duracion
Bachiller	3
Bachiller	5
Bachiller	6
Ciencias Naturales	3
Ciencias Naturales	4
Ciencias Naturales	6
Técnica	4
Técnica	7
Producción de Bienes y Servicios	3
Producción de Bienes y Servicios	4
Producción de Bienes y Servicios	6
Humanidades y Cs. Sociales	3
Humanidades y Cs. Sociales	6
Turismo	3
Turismo	6
Educación Física	6
Economía y Administración	2
Economía y Administración	3
Economía y Administración	6
Comercial	3
Comunicación	6
Ciclo Básico	3
Agropecuaria	7
Agro y Ambiente	6
Informática	3
Informática	6
Artística	3
Artística	6
Economía y Gestión de las Organizaciones	6
